Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
346,"M Farshid, J Paschen, T Eriksson, J Kietzmann","Go boldly!: Explore augmented reality (AR), virtual reality (VR), and mixed reality (MR) for business",2018,"Business horizons","Elsevier","https://www.sciencedirect.com/science/article/pii/S000768131830079X","https://scholar.google.com/scholar?cites=18340870695841320865&as_sdt=2005&sciodt=0,5&hl=en",17,"2023-12-13 12:37:33","HTML","","","",,,,,346,69.20,87,4,5,"… , virtual reality is actually just one type of reality—the beginning of the virtual reality continuum—which also includes mixed reality, … Each type of reality on the virtual reality continuum …","https://www.sciencedirect.com/science/article/pii/S000768131830079X","https://scholar.google.com/scholar?q=related:oU_-SLnch_4J:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
346,"MC Johnson-Glenberg, DA Birchfield…","Collaborative embodied learning in mixed reality motion-capture environments: Two science studies.",2014,"Journal of …","psycnet.apa.org","https://psycnet.apa.org/record/2013-32701-001","https://scholar.google.com/scholar?cites=17092402922140623363&as_sdt=2005&sciodt=0,5&hl=en",155,"2023-12-13 12:37:33","","","","",,,,,346,38.44,115,3,9,"… to which an Embodied Mixed Reality Learning Environment (EMRELE) can enhance science learning compared to regular classroom instruction. Mixed reality means that physical …","https://www.embodied-games.com/wp-new/wp-content/uploads/2018/03/JEP_SMALLAB_-Published.pdf","https://scholar.google.com/scholar?q=related:A2IK9OVpNO0J:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
341,"M Flintham, S Benford, R Anastasi…","Where on-line meets on the streets: experiences with mobile mixed reality games",2003,"Proceedings of the …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/642611.642710","https://scholar.google.com/scholar?cites=17464597243984498737&as_sdt=2005&sciodt=0,5&hl=en",48,"2023-12-13 12:37:33","","10.1145/642611.642710","","",,,,,341,17.05,85,4,20,"… reality games. The latter include the use of handheld computers and augmented reality … In this paper, we compare two early experiences of mobile mixed reality games. In the first, …","https://dl.acm.org/doi/pdf/10.1145/642611.642710","https://scholar.google.com/scholar?q=related:MVD2eKm2XvIJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
322,"WA IJsselsteijn, YAW de Kort, A Haans","Is This My Hand I See Before Me? The Rubber Hand Illusion in Reality, Virtual Reality, and Mixed Reality",2006,"Presence: Teleoperators and …","direct.mit.edu","https://direct.mit.edu/pvar/article-abstract/15/4/455/18620","https://scholar.google.com/scholar?cites=1206663457835970136&as_sdt=2005&sciodt=0,5&hl=en",31,"2023-12-13 12:37:33","","","","",,,,,322,18.94,107,3,17,"This paper presents a first study in which a recently reported intermodal perceptual illusion known as the rubber hand illusion is experimentally investigated under mediated conditions. …","https://www.academia.edu/download/39634583/IJsselsteijn__de_Kort___Haans_-_2006_-_Is_This_My_Hand_I_See_Before_Me_The_Rubber_Hand_Illusion_in_Reality__Virtual_Reality__and_Mixed_R.pdf","https://scholar.google.com/scholar?q=related:WO7BjwXuvhAJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
322,"T Piumsomboon, GA Lee, JD Hart, B Ens…","Mini-me: An adaptive avatar for mixed reality remote collaboration",2018,"Proceedings of the …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3173574.3173620","https://scholar.google.com/scholar?cites=17896954199314207368&as_sdt=2005&sciodt=0,5&hl=en",156,"2023-12-13 12:37:33","","10.1145/3173574.3173620","","",,,,,322,64.40,64,5,5,"… This paper explores how adaptive avatars can improve Mixed Reality (MR) remote … users in the real world using Augmented Reality (AR) and remote users in Virtual Reality (VR) may be …","https://dl.acm.org/doi/pdf/10.1145/3173574.3173620","https://scholar.google.com/scholar?q=related:iBKPqwXBXvgJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
305,"OM Tepper, HL Rudy, A Lefkowitz…","Mixed reality with HoloLens: where virtual reality meets augmented reality in the operating room",2017,"Plastic and …","ingentaconnect.com","https://www.ingentaconnect.com/content/wk/prs/2017/00000140/00000005/art00063","https://scholar.google.com/scholar?cites=9546091736385789641&as_sdt=2005&sciodt=0,5&hl=en",35,"2023-12-13 12:37:33","","","","",,,,,305,50.83,76,4,6,"… reality and/or augmented reality … as mixed reality, which merges many virtual reality and augmented realty features. Microsoft’s HoloLens, the first commercially available mixed reality …","","https://scholar.google.com/scholar?q=related:yR6RXNuHeoQJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
265,"MJ Maas, JM Hughes","Virtual, augmented and mixed reality in K–12 education: A review of the literature",2020,"Technology, Pedagogy and Education","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/1475939X.2020.1737210","https://scholar.google.com/scholar?cites=387111364175113093&as_sdt=2005&sciodt=0,5&hl=en",27,"2023-12-13 12:37:33","","10.1080/1475939X.2020.1737210","","",,,,,265,88.33,133,2,3,"… into the use of virtual, augmented and mixed reality technologies within K–12 educational … the use of virtual reality (VR), augmented reality (AR) or mixed reality (MR) technologies in the …","","https://scholar.google.com/scholar?q=related:hassFrxLXwUJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
259,"B Brown, I MacColl, M Chalmers, A Galani…","Lessons from the lighthouse: collaboration in a shared mixed reality system",2003,"Proceedings of the …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/642611.642711","https://scholar.google.com/scholar?cites=10728988861645880066&as_sdt=2005&sciodt=0,5&hl=en",21,"2023-12-13 12:37:33","","10.1145/642611.642711","","",,,,,259,12.95,52,5,20,"… This paper presents a study of a mixed reality system that allows web, virtual reality and physical visitors to share a museum visit together in real time. Our system allows visitors to share …","https://dl.acm.org/doi/pdf/10.1145/642611.642711","https://scholar.google.com/scholar?q=related:AnuGaYYG5ZQJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
248,"H Benko, EW Ishak, S Feiner","Collaborative mixed reality visualization of an archaeological excavation",2004,"… Mixed and Augmented Reality","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1383050/","https://scholar.google.com/scholar?cites=3766017766053855115&as_sdt=2005&sciodt=0,5&hl=en",40,"2023-12-13 12:37:33","","","","",,,,,248,13.05,83,3,19,"… experimental collaborative mixed reality system for offsite visualization of an archaeological dig. Our system allows multiple users to visualize the dig site in a mixed reality environment …","https://ieeexplore.ieee.org/iel5/9498/30137/01383050.pdf","https://scholar.google.com/scholar?q=related:iz9zezSVQzQJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
229,"CW Chang, JH Lee, CY Wang, GD Chen","Improving the authentic learning experience by integrating robots into the mixed-reality environment",2010,"Computers &Education","Elsevier","https://www.sciencedirect.com/science/article/pii/S0360131510001831","https://scholar.google.com/scholar?cites=14897638981529191611&as_sdt=2005&sciodt=0,5&hl=en",70,"2023-12-13 12:37:33","HTML","","","",,,,,229,17.62,57,4,13,"… We designed a system, RoboStage, with authentic scenes by using mixed-reality technology and robot to investigate the difference in learning with either physical or virtual characters …","https://www.sciencedirect.com/science/article/pii/S0360131510001831","https://scholar.google.com/scholar?q=related:u0QP_rgLv84J:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
224,"J Zauner, M Haller, A Brandl…","Authoring of a mixed reality assembly instructor for hierarchical structures",2003,"… and Augmented Reality …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1240707/","https://scholar.google.com/scholar?cites=1773657174496242&as_sdt=2005&sciodt=0,5&hl=en",96,"2023-12-13 12:37:33","","","","",,,,,224,11.20,56,4,20,"… Our approach, likewise, uses Mixed Reality technology to solve … Mixed Reality allows a smooth combination of the real and the … of the Mixed Reality Assembly Instructor. Haringer et. al. …","https://ieeexplore.ieee.org/iel5/8784/27815/01240707.pdf","https://scholar.google.com/scholar?q=related:8tPWvSFNBgAJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
222,"CMY Rasimah, A Ahmad, HB Zaman","Evaluation of user acceptance of mixed reality technology",2011,"Australasian Journal of …","ajet.org.au","https://ajet.org.au/index.php/AJET/article/view/899","https://scholar.google.com/scholar?cites=4779447299694096620&as_sdt=2005&sciodt=0,5&hl=en",19,"2023-12-13 12:37:33","","","","",,,,,222,18.50,74,3,12,"… ’ perception and acceptance of mixed reality (MR) technology. … mixed reality prototype, named Mixed Reality Regenerative Concept (MRRC). MRRC was developed using mixed reality …","https://ajet.org.au/index.php/AJET/article/download/899/176/","https://scholar.google.com/scholar?q=related:7HD3GP8BVEIJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
219,"S Rokhsaritalemi, A Sadeghi-Niaraki, SM Choi","A review on mixed reality: Current trends, challenges and prospects",2020,"Applied Sciences","mdpi.com","https://www.mdpi.com/2076-3417/10/2/636","https://scholar.google.com/scholar?cites=5728699840861433876&as_sdt=2005&sciodt=0,5&hl=en",2,"2023-12-13 12:37:33","","","","",,,,,219,73.00,73,3,3,"… databases using the keyword “mixed reality” in the title, keywords, … that MR is everything between augmented reality (AR) and … Mixed Reality is a class of simulators that combines both …","https://www.mdpi.com/2076-3417/10/2/636/pdf","https://scholar.google.com/scholar?q=related:FPBhPydugE8J:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
211,"B Ens, J Lanir, A Tang, S Bateman, G Lee…","Revisiting collaboration through mixed reality: The evolution of groupware",2019,"International Journal of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1071581919300606","https://scholar.google.com/scholar?cites=13413193637114488975&as_sdt=2005&sciodt=0,5&hl=en",55,"2023-12-13 12:37:33","HTML","","","",,,,,211,52.75,35,6,4,"Collaborative Mixed Reality (MR) systems are at a critical point in time as they are soon to become more commonplace. However, MR technology has only recently matured to the point …","https://www.sciencedirect.com/science/article/pii/S1071581919300606","https://scholar.google.com/scholar?q=related:jyi9-4s8JboJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
208,"C Weichel, M Lau, D Kim, N Villar…","MixFab: a mixed-reality environment for personal fabrication",2014,"Proceedings of the …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2556288.2557090","https://scholar.google.com/scholar?cites=2954052484347483032&as_sdt=2005&sciodt=0,5&hl=en",10,"2023-12-13 12:37:33","","10.1145/2556288.2557090","","",,,,,208,23.11,42,5,9,"… First we propose and implement an immersive mixed-reality environment by combining an augmented reality setup, gesture recognition and 3D scanning capabilities. Our second …","https://dl.acm.org/doi/pdf/10.1145/2556288.2557090","https://scholar.google.com/scholar?q=related:mFNkURXn_igJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
201,"W Hoenig, C Milanes, L Scaria, T Phan…","Mixed reality for robotics",2015,"2015 IEEE/RSJ …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7354138/","https://scholar.google.com/scholar?cites=298595025936926381&as_sdt=2005&sciodt=0,5&hl=en",7,"2023-12-13 12:37:33","","","","",,,,,201,25.13,40,5,8,"… show that Mixed Reality can … Mixed Reality with three representative experiments, each of which highlights the advantages of our approach. We also provide a testbed for Mixed Reality …","https://www.researchgate.net/profile/Wolfgang-Hoenig/publication/308847201_Mixed_reality_for_robotics/links/619f88d9f8565a76fdf46d04/Mixed-reality-for-robotics.pdf","https://scholar.google.com/scholar?q=related:rUarFJjSJAQJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
200,"L Dieker, M Hynes, C Hughes…","Implications of mixed reality and simulation technologies on special education and teacher preparation",2008,"Focus on Exceptional …","stars.library.ucf.edu","https://stars.library.ucf.edu/cgi/viewcontent.cgi?article=1273&context=facultybib2000","https://scholar.google.com/scholar?cites=12412753887386678250&as_sdt=2005&sciodt=0,5&hl=en",121,"2023-12-13 12:37:33","PDF","","","",,,,,200,13.33,50,4,15,"… In this preliminary study we created a Mixed Reality (MR) speech experience to test whether this medium delivers the realism necessary to create heightened anxiety and consequent …","https://stars.library.ucf.edu/cgi/viewcontent.cgi?article=1273&context=facultybib2000","https://scholar.google.com/scholar?q=related:6jMIHuX1QqwJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
197,"KJL Nevelsteen","Virtual world, defined from a technological perspective and applied to video games, mixed reality, and the Metaverse",2018,"Computer animation and virtual worlds","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/cav.1752","https://scholar.google.com/scholar?cites=3048041713397760767&as_sdt=2005&sciodt=0,5&hl=en",184,"2023-12-13 12:37:33","","10.1002/cav.1752","","",,,,,197,39.40,197,1,5,"… the world would be mixed reality (see Mixed Reality below). … according to ST(ie, mixed reality). Because SA is not … as a mixed reality technology, that is, with mixed reality interaction (not …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/cav.1752","https://scholar.google.com/scholar?q=related:_4KlA8rRTCoJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
196,"BC Kress, WJ Cummings","11‐1: Invited Paper: Towards the Ultimate Mixed Reality Experience: HoloLens Display Architecture Choices",2017,"SID symposium digest of technical …","Wiley Online Library","https://sid.onlinelibrary.wiley.com/doi/abs/10.1002/sdtp.11586","https://scholar.google.com/scholar?cites=11066852029422449245&as_sdt=2005&sciodt=0,5&hl=en",81,"2023-12-13 12:37:33","","10.1002/sdtp.11586","","",,,,,196,32.67,98,2,6,"… This helps to set up the expectations for Mixed Reality (MR) headsets when compared to … 1.f) Mixed Reality (MR) HMDs: Mixed Reality HMDs are a notable evolution from standard AR …","https://sid.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/sdtp.11586","https://scholar.google.com/scholar?q=related:XTKJO0lblZkJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
183,"F Ke, S Lee, X Xu","Teaching training in a mixed-reality integrated learning environment",2016,"Computers in Human Behavior","Elsevier","https://www.sciencedirect.com/science/article/pii/S0747563216302655","https://scholar.google.com/scholar?cites=14785977095632415053&as_sdt=2005&sciodt=0,5&hl=en",73,"2023-12-13 12:37:33","HTML","","","",,,,,183,26.14,61,3,7,"In this mixed-method study, we examined the design and potential impact of a mixed-reality integrated learning environment (MILE) in providing the simulated and immersive teaching …","https://www.sciencedirect.com/science/article/pii/S0747563216302655","https://scholar.google.com/scholar?q=related:TWk7OtRXMs0J:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
180,"JA De Guzman, K Thilakarathna…","Security and privacy approaches in mixed reality: A literature survey",2019,"ACM Computing Surveys …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3359626","https://scholar.google.com/scholar?cites=5926412758756251007&as_sdt=2005&sciodt=0,5&hl=en",33,"2023-12-13 12:37:33","","10.1145/3359626","","",,,,,180,45.00,60,3,4,"… and approaches on mixed reality. To this end, this work makes the following contributions: … (2) We include a collection of other relevant work not necessarily directed to mixed reality but …","https://dl.acm.org/doi/pdf/10.1145/3359626","https://scholar.google.com/scholar?q=related:f1UCLgHZPlIJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
178,"A Siyaev, GS Jo","Towards aircraft maintenance metaverse using speech interactions with virtual objects in mixed reality",2021,"Sensors","mdpi.com","https://www.mdpi.com/1424-8220/21/6/2066","https://scholar.google.com/scholar?cites=18367440137455844637&as_sdt=2005&sciodt=0,5&hl=en",115,"2023-12-13 12:37:33","","","","",,,,,178,89.00,89,2,2,"… metaverses in aircraft maintenance, mixed reality (MR) creates … Therefore, we propose mixed reality education and training of … , enhancing interaction with virtual objects in mixed reality. …","https://www.mdpi.com/1424-8220/21/6/2066/pdf","https://scholar.google.com/scholar?q=related:Hb1Oen1B5v4J:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
176,"L Chen, TW Day, W Tang…","Recent developments and future challenges in medical mixed reality",2017,"… symposium on mixed and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8115411/","https://scholar.google.com/scholar?cites=4134016836058918390&as_sdt=2005&sciodt=0,5&hl=en",4,"2023-12-13 12:37:33","","","","",,,,,176,29.33,44,4,6,"… we use the term Mixed Reality (MR) to cover applications of both Augmented Reality (AR) … the real augments the virtual, as defined on the Reality-Virtuality Continuum [1]. The use of MR …","https://ieeexplore.ieee.org/iel7/8114150/8115382/08115411.pdf","https://scholar.google.com/scholar?q=related:9q3G0Gj6XjkJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
175,"A Bec, B Moyle, V Schaffer, K Timms","Virtual reality and mixed reality for second chance tourism",2021,"Tourism Management","Elsevier","https://www.sciencedirect.com/science/article/pii/S0261517720301825","https://scholar.google.com/scholar?cites=5209616383635731418&as_sdt=2005&sciodt=0,5&hl=en",34,"2023-12-13 12:37:33","HTML","","","",,,,,175,87.50,44,4,2,"… reality (VR) is a computer-generated simulation of an environment, whilst mixed reality (MR) … Augmented reality (AR) is a type of mixed reality where the real environment is overlayed in …","https://www.sciencedirect.com/science/article/pii/S0261517720301825","https://scholar.google.com/scholar?q=related:2rOpyn9GTEgJ:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
175,"J Gerup, CB Soerensen…","Augmented reality and mixed reality for healthcare education beyond surgery: an integrative review",2020,"International journal of …","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7246121/","https://scholar.google.com/scholar?cites=14813665007169162619&as_sdt=2005&sciodt=0,5&hl=en",51,"2023-12-13 12:37:33","HTML","","","",,,,,175,58.33,58,3,3,"… This study aimed to review and synthesize the current research and state of augmented reality (AR), mixed reality (MR) and the applications developed for healthcare education beyond …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7246121/","https://scholar.google.com/scholar?q=related:e83zfda1lM0J:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
174,"J Chalhoub, SK Ayer","Using Mixed Reality for electrical construction design communication",2018,"Automation in construction","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926580517304296","https://scholar.google.com/scholar?cites=17083250351485946589&as_sdt=2005&sciodt=0,5&hl=en",108,"2023-12-13 12:37:33","HTML","","","",,,,,174,34.80,87,2,5,"… While Mixed Reality (MR) could theoretically be the primary means of communicating BIM … and Kishino defined Mixed Reality as a “reality spectrum” ranging between pure “reality” (as …","https://www.sciencedirect.com/science/article/pii/S0926580517304296","https://scholar.google.com/scholar?q=related:3QpjCa_lE-0J:scholar.google.com/&scioq=intitle:mixed+intitle:reality&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2023"
