Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
104,"YM Tang, KY Chau, APK Kwok, T Zhu, X Ma","A systematic review of immersive technology applications for medical practice and education-trends, application areas, recipients, teaching contents …",2022,"Educational Research …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1747938X2100052X","https://scholar.google.com/scholar?cites=14537631279244731552&as_sdt=2005&sciodt=0,5&hl=en",170,"2023-12-13 11:24:03","HTML","","","",,,,,104,104.00,21,5,1,"… It is a broad term that encompasses virtual reality (VR), augmented reality (AR), mixed reality (MR), and extended reality (XR) technology (Suh &Prophet, 2018). Research in different …","https://www.sciencedirect.com/science/article/pii/S1747938X2100052X","https://scholar.google.com/scholar?q=related:oGT98p8KwMkJ:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
101,"P Dhar, T Rocks, RM Samarasinghe…","Augmented reality in medical education: students' experiences and learning outcomes",2021,"Medical education …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/10872981.2021.1953953","https://scholar.google.com/scholar?cites=7979866403487490157&as_sdt=2005&sciodt=0,5&hl=en",199,"2023-12-13 11:24:03","","10.1080/10872981.2021.1953953","","",,,,,101,50.50,25,4,2,"… real environment, this mixed reality allows to precisely … reality (VR), in which the entire environment is digitally created. However, both AR and VR sit at different ends of the mixed reality …","https://www.tandfonline.com/doi/pdf/10.1080/10872981.2021.1953953","https://scholar.google.com/scholar?q=related:bSDy_jYuvm4J:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
96,"D Allcoat, T Hatchard, F Azmat…","Education in the digital age: Learning experience in virtual and mixed realities",2021,"Journal of …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0735633120985120","https://scholar.google.com/scholar?cites=7903947986454167322&as_sdt=2005&sciodt=0,5&hl=en",12,"2023-12-13 11:24:03","","10.1177/0735633120985120","","",,,,,96,48.00,24,4,2,"… Reality and Mixed Reality conditions compared to the traditional learning condition, and higher levels of positive emotions in the Virtual Reality … Virtual Reality, however, did produce a …","https://journals.sagepub.com/doi/pdf/10.1177/0735633120985120","https://scholar.google.com/scholar?q=related:Gr_DF9F2sG0J:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
95,"SH Choi, KB Park, DH Roh, JY Lee…","An integrated mixed reality system for safety-aware human-robot collaboration using deep learning and digital twin generation",2022,"Robotics and Computer …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0736584521001381","https://scholar.google.com/scholar?cites=6353168283472592947&as_sdt=2005&sciodt=0,5&hl=en",19,"2023-12-13 11:24:03","HTML","","","",,,,,95,95.00,19,5,1,"… This study proposes a novel integrated mixed reality (MR) system for safety-aware HRC using deep learning and digital twin generation. The proposed approach can accurately …","https://www.sciencedirect.com/science/article/pii/S0736584521001381","https://scholar.google.com/scholar?q=related:M4CpruT8KlgJ:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
85,"SS Usmani, M Sharath, M Mehendale","Future of mental health in the metaverse",2022,"General Psychiatry","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9472101/","https://scholar.google.com/scholar?cites=14553667175782509081&as_sdt=2005&sciodt=0,5&hl=en",164,"2023-12-13 11:24:03","HTML","","","",,,,,85,85.00,28,3,1,"… Mixed reality (MR) is a mixture of virtual and actual reality allowing real and virtual elements to interact with one another, enabling users to have more control over virtual objects as …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9472101/","https://scholar.google.com/scholar?q=related:GWrHDzAD-ckJ:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
83,"M Dianatfar, J Latokartano, M Lanz","Review on existing VR/AR solutions in human–robot collaboration",2021,"Procedia CIRP","Elsevier","https://www.sciencedirect.com/science/article/pii/S2212827120314815","https://scholar.google.com/scholar?cites=12552517296700572675&as_sdt=2005&sciodt=0,5&hl=en",149,"2023-12-13 11:24:03","HTML","","","",,,,,83,41.50,28,3,2,"… ), such as Virtual Reality (VR) and Augmented Reality (AR) and Mixed Reality (XR), show … this area, and XR for Mixed Reality is used in this article. Virtual Reality provides an immersive …","https://www.sciencedirect.com/science/article/pii/S2212827120314815","https://scholar.google.com/scholar?q=related:A8TIqvl_M64J:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
78,"T Van Nuenen, C Scarles","Advancements in technology and digital media in tourism",2021,"Tourist Studies","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1468797621990410","https://scholar.google.com/scholar?cites=2653881449102712427&as_sdt=2005&sciodt=0,5&hl=en",150,"2023-12-13 11:24:03","","10.1177/1468797621990410","","",,,,,78,39.00,39,2,2,"… , the emergence of gamification embedded within these, immersive mixed-reality media (such as virtual reality [VR] and augmented reality [AR]) and the changes in tourist behaviour …","https://journals.sagepub.com/doi/full/10.1177/1468797621990410","https://scholar.google.com/scholar?q=related:ax7E-R171CQJ:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
78,"H Ghaednia, MS Fourman, A Lans, K Detels, H Dijkstra…","Augmented and virtual reality in spine surgery, current applications and future potentials",2021,"The Spine Journal","Elsevier","https://www.sciencedirect.com/science/article/pii/S1529943021001558","https://scholar.google.com/scholar?cites=2434580767803510961&as_sdt=2005&sciodt=0,5&hl=en",192,"2023-12-13 11:24:03","HTML","","","",,,,,78,39.00,13,6,2,"… Microsoft Hololense MR A mixed reality glass that is a self-contained computer with wifi connectivity… Magic Leap one MR A mixed reality glass that projects information on both eyes. The …","https://www.sciencedirect.com/science/article/pii/S1529943021001558","https://scholar.google.com/scholar?q=related:sRDtMU9eySEJ:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
77,"EC Sung, S Bae, DID Han, O Kwon","Consumer engagement via interactive artificial intelligence and mixed reality",2021,"International journal of information …","Elsevier","https://www.sciencedirect.com/science/article/pii/S026840122100075X","https://scholar.google.com/scholar?cites=12159367588484055400&as_sdt=2005&sciodt=0,5&hl=en",9,"2023-12-13 11:24:03","HTML","","","",,,,,77,38.50,19,4,2,"The use of immersive technologies has changed the consumption environment in which retailers provide services. We present findings from a study designed to investigate consumer …","https://www.sciencedirect.com/science/article/pii/S026840122100075X","https://scholar.google.com/scholar?q=related:aIH9DGbAvqgJ:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
73,"D Gasques, JG Johnson, T Sharkey, Y Feng…","ARTEMIS: A collaborative mixed-reality system for immersive surgical telementoring",2021,"Proceedings of the …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3411764.3445576","https://scholar.google.com/scholar?cites=18408543901829273107&as_sdt=2005&sciodt=0,5&hl=en",17,"2023-12-13 11:24:03","","10.1145/3411764.3445576","","",,,,,73,36.50,15,5,2,"… in Mixed Reality and telementoring. Throughout this paper, we use the term Mixed Reality to … the the spectrum of technologies ranging from Augmented Reality to Virtual Reality [39]. …","https://dl.acm.org/doi/pdf/10.1145/3411764.3445576","https://scholar.google.com/scholar?q=related:E5a3ZCVJeP8J:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
73,"MJ Liberatore, WP Wagner","Virtual, mixed, and augmented reality: a systematic review for immersive systems research",2021,"Virtual Reality","Springer","https://link.springer.com/article/10.1007/s10055-020-00492-0","https://scholar.google.com/scholar?cites=8671802049179811129&as_sdt=2005&sciodt=0,5&hl=en",142,"2023-12-13 11:24:03","HTML","10.1007/s10055-020-00492-0","","",,,,,73,36.50,37,2,2,"… The first search addressed the subjects of interest and included the search terms “immersive system” or “virtual reality” or “augmented reality” or “mixed reality.” The second search …","https://link.springer.com/article/10.1007/s10055-020-00492-0","https://scholar.google.com/scholar?q=related:Of3dvwRuWHgJ:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
71,"R Suzuki, A Karim, T Xia, H Hedayati…","Augmented reality and robotics: A survey and taxonomy for ar-enhanced human-robot interaction and robotic interfaces",2022,"Proceedings of the 2022 …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3491102.3517719","https://scholar.google.com/scholar?cites=17493570838420114295&as_sdt=2005&sciodt=0,5&hl=en",162,"2023-12-13 11:24:03","","10.1145/3491102.3517719","","",,,,,71,71.00,14,5,1,"… This paper contributes to a taxonomy of augmented reality and robotics based on a survey of 460 research papers. Augmented and mixed reality (AR/MR) have emerged as a new way …","https://dl.acm.org/doi/pdf/10.1145/3491102.3517719","https://scholar.google.com/scholar?q=related:d8spHf6lxfIJ:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
70,"H Kumar","Augmented reality in online retailing: a systematic review and research agenda",2022,"International Journal of Retail &Distribution …","emerald.com","https://www.emerald.com/insight/content/doi/10.1108/IJRDM-06-2021-0287/full/html","https://scholar.google.com/scholar?cites=2815219249307233966&as_sdt=2005&sciodt=0,5&hl=en",175,"2023-12-13 11:24:03","HTML","10.1108/IJRDM-06-2021-0287","","",,,,,70,70.00,70,1,1,"… of AR (assisted reality ie superimposition in 2D, and mixed reality ie superimposition with … be referred to as mixed reality, whereas Google glass can be classified as “assisted reality”, …","https://www.emerald.com/insight/content/doi/10.1108/IJRDM-06-2021-0287/full/html","https://scholar.google.com/scholar?q=related:rq7M1_2qEScJ:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
62,"V Kohli, U Tripathi, V Chamola, BK Rout…","A review on Virtual Reality and Augmented Reality use-cases of Brain Computer Interface based applications for smart cities",2022,"Microprocessors and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0141933121005391","https://scholar.google.com/scholar?cites=5662590154574552030&as_sdt=2005&sciodt=0,5&hl=en",137,"2023-12-13 11:24:03","HTML","","","",,,,,62,62.00,12,5,1,"… XR has been developed as an umbrella domain, covering Virtual Reality (VR), Augmented Reality (AR) and Mixed Reality (MR), giving rise to human–machine interactions. This …","https://www.sciencedirect.com/science/article/pii/S0141933121005391","https://scholar.google.com/scholar?q=related:3lsKcL6PlU4J:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
58,"C Zhu, Y Lu, L Jiang, Y Yu","Liquid crystal soft actuators and robots toward mixed reality",2021,"Advanced Functional Materials","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202009835","https://scholar.google.com/scholar?cites=11074830444143415500&as_sdt=2005&sciodt=0,5&hl=en",15,"2023-12-13 11:24:03","","10.1002/adfm.202009835","","",,,,,58,29.00,15,4,2,"… Especially, combining these LC actuator and robots with existing virtual reality and augmented reality technologies will produce a new world of mixed reality (MR) with the visual, …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adfm.202009835","https://scholar.google.com/scholar?q=related:zJDZqpyzsZkJ:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
57,"AH Sadeghi, S El Mathari, D Abjigitova…","Current and future applications of virtual, augmented, and mixed reality in cardiothoracic surgery",2022,"The Annals of Thoracic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0003497520321275","https://scholar.google.com/scholar?cites=11994857003325254195&as_sdt=2005&sciodt=0,5&hl=en",13,"2023-12-13 11:24:03","HTML","","","",,,,,57,57.00,14,4,1,"Background This review aims to examine the existing literature to address currently used virtual, augmented, and mixed reality modalities in the areas of preoperative surgical planning, …","https://www.sciencedirect.com/science/article/pii/S0003497520321275","https://scholar.google.com/scholar?q=related:M-rOnuRKdqYJ:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
57,"Y Cheng, Y Yan, X Yi, Y Shi, D Lindlbauer","Semanticadapt: Optimization-based adaptation of mixed reality layouts leveraging virtual-physical semantic connections",2021,"The 34th Annual ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3472749.3474750","https://scholar.google.com/scholar?cites=3832084823626963485&as_sdt=2005&sciodt=0,5&hl=en",18,"2023-12-13 11:24:03","","10.1145/3472749.3474750","","",,,,,57,28.50,11,5,2,"… We present an optimization-based approach that automatically adapts Mixed Reality (MR) interfaces to different physical environments. Current MR layouts, including the position and …","https://dl.acm.org/doi/pdf/10.1145/3472749.3474750","https://scholar.google.com/scholar?q=related:HVpzBdhMLjUJ:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
